"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SOIC-28W_7.5x17.9mm_P1.27mm";1;"Wii-MX";;;
2;"TP3";"TestPoint_Pad_D1.0mm";1;"GND";;;
3;"D1";"D_0603_1608Metric";1;"D_Small";;;
4;"TP4";"TestPoint_Pad_D1.0mm";1;"DATA0";;;
5;"TP9";"TestPoint_Pad_D1.0mm";1;"3.3V";;;
6;"C2,C1";"C_0402_1005Metric";2;"5pF";;;
7;"R1";"R_0402_1005Metric";1;"1k";;;
8;"TP8";"TestPoint_Pad_D1.0mm";1;"BATT";;;
9;"TP7";"TestPoint_Pad_D1.0mm";1;"DATA3";;;
10;"C3";"C_0402_1005Metric";1;"100nF";;;
11;"TP6";"TestPoint_Pad_D1.0mm";1;"DATA2";;;
12;"TP5";"TestPoint_Pad_D1.0mm";1;"DATA1";;;
13;"X1";"Crystal_SMD_Abracon_ABS25-4Pin_8.0x3.8mm";1;"32.768kHz";;;
14;"TP1";"TestPoint_Pad_D4.0mm";1;"BATT";;;
15;"TP2";"TestPoint_Pad_D4.0mm";1;"GND";;;
